rotten_tomatoes_link,movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,runtime_in_minutes,tomatometer_rating,audience_rating
/m/0814255,Percy Jackson & the Olympians: The Lightning Thief,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,"Though it may seem like just another Harry Potter knockoff, Percy Jackson benefits from a strong supporting cast, a speedy plot, and plenty of fun with Greek mythology.",PG,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,Craig Titley,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Sean Bean, Pierce Brosnan, Steve Coogan, Rosario Dawson, Melina Kanakaredes, Catherine Keener, Kevin Mckidd, Joe Pantoliano, Uma Thurman, Ray Winstone, Julian Richings, Bonita Friedericy, Annie Ilonzeh, Tania Saulnier, Marie Avgeropoulos, Luisa D'Oliveira, Christie Laing, Marielle Jaffe, Elisa King, Chrystal Tisiga, Alexis Knapp, Charlie Gallant, Chelan Simmons, Andrea Brooks, Natassia Malthe, Max Van Ville, Serinda Swan, Dimitri Lekkos, Ona Grauer, Stefanie von Pfetten, Conrad Coates, Erica Cerra, Dylan Neal, Luke Camilleri, Holly Hougham, Ina Geraldine, Raquel Riskin, Yusleidis Oquendo, Janine Edwards, Valerie Tian, Violet Columbus, Sarah Smyth, Merritt Patterson, Julie Luck, Andrea Day, John Stewart, Suzanne Ristic, Deejay Jackson, Matthew Garrick, Stan Carp, Suzanna Ristic, Richard Harmon, Maria Olsen, Robin Lemon, Doyle Devereux, Tom Pickett, VJ Delos-Reyes, Tim Aas, Keith Dallas, Spencer Atkinson, Maya Washington, Loyd Bateman, Victor Ayala, Zane Holtz, Eli Zagoudakis, Matt Reimer, Rob Hayter, Lloyd Bateman, Shawn Beaton, Jarod Joseph, Reilly Dolman, Paul Cummings, Julie Brar, Dejan Loyola, Damian Arman, Mario Casoria, Dorla Bell, Carolyn Adair (II), Jade Pawluk, G. Patrick Currie, Darian Arman, Mariela Zapata, David L. Smith",83.0,49,53.0
/m/0878835,Please Give,"Kate has a lot on her mind. There's the ethics problem of buying furniture on the cheap at estate sales and marking it up at her trendy Manhattan store. And how much markup can she get away with? There's the materialism problem of not wanting her teenage daughter to want the expensive things that Kate wants. There's the marriage problem of sharing a partnership in parenting, business and life with her husband Alex but sensing doubt nibbling at the foundations. And, there's Kate's free-floating 21st century malaise -- the problem of how to live well and be a good person when poverty, homelessness, and sadness are always right outside the door. Plus, there's the neighbors: cranky, elderly Andra and the two granddaughters who look after her.","Nicole Holofcener's newest might seem slight in places, but its rendering of complex characters in a conflicted economic landscape is varied, natural, and touching all the same.",R,Comedy,Nicole Holofcener,Nicole Holofcener,"Catherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Sarah Steele, Ann Morgan Guilbert, Kevin Corrigan, Lois Smith",90.0,86,64.0
/m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),"A Puerto Rican youth is on trial for murder, accused of knifing his father to death. The twelve jurors retire to the jury room, having been admonished that the defendant is innocent until proven guilty beyond a reasonable doubt. Eleven of the jurors vote for conviction, each for reasons of his own. The sole holdout is Juror #8, played by Henry Fonda. As Fonda persuades the weary jurors to re-examine the evidence, we learn the backstory of each man. Juror #3 (Lee J. Cobb), a bullying self-made man, has estranged himself from his own son. Juror #7 (Jack Warden) has an ingrained mistrust of foreigners; so, to a lesser extent, does Juror #6 (Edward Binns). Jurors #10 (Ed Begley) and #11 (George Voskovec), so certain of the infallibility of the Law, assume that if the boy was arrested, he must be guilty. Juror #4 (E.G. Marshall) is an advocate of dispassionate deductive reasoning. Juror #5 (Jack Klugman), like the defendant a product of ""the streets,"" hopes that his guilty vote will distance himself from his past. Juror #12 (Robert Webber), an advertising man, doesn't understand anything that he can't package and market. And Jurors #1 (Martin Balsam), #2 (John Fiedler) and #9 (Joseph Sweeney), anxious not to make waves, ""go with the flow."" The excruciatingly hot day drags into an even hotter night; still, Fonda chips away at the guilty verdict, insisting that his fellow jurors bear in mind those words ""reasonable doubt."" A pet project of Henry Fonda's, Twelve Angry Men was his only foray into film production; the actor's partner in this venture was Reginald Rose, who wrote the 1954 television play on which the film was based. Carried over from the TV version was director Sidney Lumet, here making his feature-film debut. A flop when it first came out (surprisingly, since it cost almost nothing to make), Twelve Angry Men holds up beautifully when seen today. It was remade for television in 1997 by director William Friedkin with Jack Lemmon and George C. Scott. ~ Hal Erickson, Rovi","Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca",95.0,100,97.0
/m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea","This 1954 Disney version of Jules Verne's 20,000 Leagues Under the Sea represented the studio's costliest and most elaborate American-filmed effort to date. Kirk Douglas plays a trouble-shooting 19th century seaman, trying to discover why so many whaling ships have been disappearing of late. Teaming with scientist Paul Lukas and diver Peter Lorre, Douglas sets sail to investigate--and is promptly captured by the megalomaniac Captain Nemo (James Mason), who skippers a lavish, scientifically advanced submarine. The film's special effects, including a giant squid, were impressive enough in 1954 to win an Academy Award. ~ Hal Erickson, Rovi","One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid.",G,"Action & Adventure, Drama, Kids & Family",Richard Fleischer,Earl Felton,"James Mason, Kirk Douglas, Paul Lukas, Peter Lorre, Robert J. Wilke, Carleton Young, Bob Wilke, Ted de Corsia, Percy Helton, Ted Cooper, Eddie Marr, Fred Graham, Esmeralda, J.M. Kerrigan, Harry Harvey, Herb Vigran",127.0,89,74.0
/m/10000_bc,"10,000 B.C.","A young outcast from a primitive tribe is forced to defend his people from a brutal onslaught in Independence Day director Roland Emmerich's fast-paced period adventure. Despite the fact that he is low man on the totem pole in his tribe of fearless hunters, a brave young boy (Steven Strait) longs to win the heart of a beautiful princess (Camilla Belle) who is well above his station in life. When an overwhelming horde of powerful invaders forces the hunters into slavery and abducts the princess, the once-aimless boy suddenly finds his destiny taking an unexpected turn. Now, if he has any hope of saving his tribe from certain extinction, this young boy will have to fight for the future to his dying breath. ~ Jason Buchanan, Rovi","With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.",PG-13,"Action & Adventure, Classics, Drama",Roland Emmerich,"Roland Emmerich, Harald Kloser","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Omar Sharif",109.0,8,37.0
/m/1000121-39_steps,The 39 Steps,"A man in London tries to help a counterespionage agent. But when the agent is killed and he stands accused, he must go on the run to both save himself and also stop a spy ring trying to steal top secret information.","Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,"Alma Reville, Charles Bennett, Ian Hay","Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, John Laurie, Helen Haye, Wylie Watson, Frank Cellier, Peggy Simpson, Gus McNaughton, Jerry Verno, Miles Malleson, Marianne Stone",87.0,96,86.0
/m/10002516-lost_city,The Lost City,"Andy Garcia stars and makes his directorial debut in a passionate and historical tribute to his native Cuba. Havana in 1958 is a place of pleasure for many, but others are not happy under the rule of Dictator Fulgencio Batista. As the revolutionary forces of Fidel Castro and Ernesto 'Che' Guevara prepare to move on the city, Fico Fellove -- owner of the city's classiest music nightclub, El Tropico -- struggles to hold together his family and the love of a woman, not knowing that his club will become more than just a stage for popular entertainment. Observing all is The Writer an ex-patriot American who sees Fico being drawn into events as the revolution changes everything. Though Fico watches a culture vanish and a people transformed, it is his love of Cuban music that keeps his memories alive.","Its heart is in the right place, but what starts as a promising exercise devolves into an overlong, unevenly directed disappointment.",R,Drama,Andy Garcia,"G. Cabrera Infante, Guillermo Cabrera Infante","Andy Garcia, Dustin Hoffman, Bill Murray, Inés Sastre, Tomás Milian, Elizabeth Peña, Jsu Garcia, Nestor Carbonell, Lorena Feijoo, Millie Perkins, Enrique Murciano Jr., Richard Bradford, Dominik García-Lorido, Steven Bauer, Tony Plana, Juan Fernández, Sergio Carlo, William Marquez, Julio Oscar Mechoso, Daniel Pino, Ruben Rabasa, Victor Rivers, Waldemar Kalinowski",143.0,25,64.0
/m/1000253-adams_rib,Adam's Rib,"Written by Ruth Gordon and Garson Kanin, Adam's Rib is a peerless comedy predicated on the double standard. Spencer Tracy and Katharine Hepburn play Adam and Amanda Bonner, a husband-and-wife attorney team, both drawn to a case of attempted murder. The defendant (Judy Holliday) had tearfully attempted to shoot her husband (Tom Ewell) and his mistress (Jean Hagen). Adam argues that the case is open and shut, but Amanda points out that, if the defendant were a man, he'd be set free on the basis of ""the unwritten law."" Thus it is that Adam works on behalf of the prosecution, while Amanda defends the accused woman. The trial turns into a media circus, while the Bonners' home life suffers. Adam's Rib represented the film debuts of New York-based actors Jean Hagen, Tom Ewell, and David Wayne (as Hepburn's erstwhile songwriting suitor), and the return to Hollywood of Judy Holliday after her Born Yesterday triumph. One of the best of the Tracy-Hepburn efforts, it inspired a brief 1973 TV series starring Ken Howard and Blythe Danner.","Matched by Garson Kanin's witty, sophisticated screenplay, George Cukor, Spencer Tracy, and Katherine Hepburn are all in top form in the classic comedy Adam's Rib.",NR,"Classics, Comedy, Romance",George Cukor,"Garson Kanin, Ruth Gordon","Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell, David Wayne, Jean Hagen, Hope Emerson, Eve March, Clarence Kolb, Emerson Treacy, Polly Moran, Will Wright, Elizabeth Flournoy, Janna Da Loos, Marvin Kaplan, John Maxwell Sholes, David Clarke, Gracille LaVinder, William Self, Paula Raymond, Tommy Noonan, John Maxwell, Ray Walker, Bill Self, Sidney Dubin, Madge Blake, Marjorie Wood, Lester Luther, De Forrest Lawrence, John Fell, David Roger Harris, Anna Q. Nilsson, Rex Evans, Louis Mason, Charles Bastin, James Nolan, E. Bradley Coleman, Glen B. Gallagher, Joseph E. Bernard, Gil Patric, Harry Cody, George Magrill, Bert Davidson",100.0,100,86.0
/m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,"Thornton Wilder's award-winning novel is given a lavish screen adaptation in this historical drama from writer and director Mary McGuckian. In Peru in 1714, a rickety bridge collapsed as five people were attempting to cross, forcing them to plunge to their deaths. Brother Fray Juniper (Gabriel Byrne) is a Franciscan monk who has been given the duty of looking into the tragedy by the archbishop of Lima (Robert De Niro), and to learn what he can about the victims. It is Juniper's belief that these particular people died for some reason, and that it is his duty to determine why God chose these five people to perish, while others in the vicinity survived. After five years, Juniper delivers his findings to the archbishop as well as the viceroy of Peru (F. Murray Abraham), as Juniper tells them of the lives of the troubled Dona Maria (Kathy Bates), the nun Pepita (Adriana Dominguez), warm-hearted Uncle Pio (Harvey Keitel), street kid-turned-actress La Perichola (Pilar Lopez de Ayala), and others involved in the tragedy. The Bridge of San Luis Rey also features Geraldine Chaplin, John Lynch, and brothers Mark Polish and Michael Polish.","Despite an all-star cast and some impressive visuals, The Bridge of San Luis Rey is a lifeless, slow-going adaptation of Thornton Wilder's classic novel.",PG,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,Mary McGuckian,"Gabriel Byrne, F. Murray Abraham, Kathy Bates, Geraldine Chaplin, Robert De Niro, Émilie Dequenne, Adriana Domínguez, Harvey Keitel, Samuel Le Bihan, Pilar López de Ayala, John Lynch, Dominique Pinon, Mark Polish, Michael Polish, Jim Sheridan",120.0,4,35.0
/m/10003276-criminal,Criminal,"A contemporary caper story centering upon an extremely odd couple: a young Latino man who will do anything for his family and a thirty-something scheming white guy who will do anything to his family. One wants to save his father. The other wants to get rich, in any way possible. So when they come across one of the most valuable pieces of currency in U.S. history, they're suddenly stuck together, and that's just--criminal. All they have to do is sell it, which is where the real problems begin. The only way out is family but the one person who can help them, hates them: the schemer's sister.","If you saw Nine Queens, it may feel redundant, but the snappy performances make it fun to watch.",R,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs","Gregory Jacobs, Fabián Bielinsky, Steven Soderbergh, Sam Lowry, Greggory Jacobs, Greg Jacobs","John C. Reilly, Diego Luna, Maggie Gyllenhaal, Jonathan Tucker, Peter Mullan, Zitto Kazann, Maeve Quinlan, Laura Cerón, Soledad St. Hilaire, Brandon Keener, Ellen Geer, Gary Mack, Brent Sexton, Enrico Colantoni, Nick Anavio, Deborah Van Valkenburgh, Malik Yoba, Lillian Hurst, Jack Conley, Juan Carlos Cantu, Manuel G. Jimenez, Luis Contreras, Patricia Belcher, Paul Norwood",88.0,69,57.0
